[00:00.000 --> 00:06.400]  Hola a todos, bienvenidos a este podcast donde vamos a cuestionar un poquito sobre lo que sabemos.
[00:06.400 --> 00:11.200]  Se habla mucho últimamente de lo que es inteligencia artificial generativa
[00:11.200 --> 00:19.880]  y se ha demostrado por medio de modelos de lenguaje o LLMs que realmente es muy útil para tareas de la vida cotidiana.
[00:19.880 --> 00:27.440]  Pero, aunque es un término que solemos usar con mucha frecuencia últimamente, ¿realmente sabemos qué es la inteligencia?
[00:27.520 --> 00:39.640]  Exacto. A veces somos muy soberbios y creemos que la inteligencia es exclusiva de especies con cerebros complejos como el de nosotros, que es muy complejo.
[00:39.640 --> 00:52.920]  Pero si definiéramos la inteligencia solo como un cerebro que procesa datos, dejaríamos fuera cosas muy asombrosas que ni siquiera tienen cerebro.
[00:52.920 --> 00:58.480]  Como por ejemplo el model, ¿cómo se llama? El Phisarum polycefalum.
[00:58.480 --> 01:07.000]  Este es una sola célula, o sea, ni siquiera tiene neuronas y aún así hicieron varios experimentos con él, ¿no?
[01:07.000 --> 01:17.400]  Pero el que más destacó fue el que fue capaz de resolver laberintos y optimizar las redes de transporte de la comida, o sea,
[01:17.480 --> 01:30.680]  Pusieron una réplica de la ciudad de Tokio, lo pusieron a él y descifró rutas muy cortas para él conseguir comida, pues lo que lo hizo de forma muy eficiente.
[01:30.680 --> 01:40.160]  Lo que muchas personas que se encargan de ello dicen, bueno, pues me siento estafado porque pues estaba muy eficiente, no lo hice yo.
[01:40.160 --> 01:46.920]  Pero eso es la inteligencia o es solo una idea que nos invitamos para clasificar lo que nos sorprende.
[01:46.920 --> 01:54.840]  Bueno, realmente, pues es una duda que ha dividido a la ciencia por décadas, o sea, por eso hoy tenemos dos grandes ramas.
[01:54.840 --> 02:04.600]  Por un lado tenemos a la IA clásica que se enfoca en modelos matemáticos y la lógica pura, pero por otro lado, últimamente la IA moderna se basa en estructuras biológicas.
[02:04.600 --> 02:06.920]  ¿Cómo? ¿Cómo qué estructuras biológicas?
[02:06.920 --> 02:07.280]  Por eso...
[02:07.280 --> 02:09.400]  Como nuestras neuronas.
